Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,EagleHPMax,EagleHPLostPct,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
223,Chantry,PIBT,1,EagleDestroyed,101.51,-1,500,0.0,24,24,2777,0,78,1034
224,Chantry,PIBT,2,EagleDestroyed,101.16,-1,500,0.0,24,24,2293,0,116,866
225,Chantry,PIBT,3,EagleDestroyed,101.67,-1,500,0.0,24,24,2448,0,105,818
226,Chantry,PIBT,4,EagleDestroyed,102.66,-1,500,0.0,24,24,2148,0,68,1003
227,Chantry,PIBT,5,EagleDestroyed,98.96,-1,500,0.0,24,24,2336,0,109,810
228,Chantry,PIBT,6,EagleDestroyed,104.85,-1,500,0.0,24,24,2296,0,71,1151
229,Chantry,PIBT_TCP,1,EagleDestroyed,83.71,-1,500,0.0,24,24,2729,0,2712,1877
230,Chantry,PIBT_TCP,2,EagleDestroyed,80.77,-1,500,0.0,24,24,2627,0,2594,1792
231,Chantry,PIBT_TCP,3,EagleDestroyed,82.19,-1,500,0.0,24,24,2500,0,1764,1768
232,Chantry,PIBT_TCP,4,EagleDestroyed,87.26,-1,500,0.0,24,24,2534,0,1823,1816
233,Chantry,PIBT_TCP,5,EagleDestroyed,83.09,-1,500,0.0,24,24,2258,0,2587,1609
234,Chantry,PIBT_TCP,6,EagleDestroyed,92.38,-1,500,0.0,24,24,2839,0,3016,1735
235,Gallows,AStar,1,EagleDestroyed,97.14,-1,500,0.0,24,24,2648,0,356,838
236,Gallows,AStar,2,EagleDestroyed,100.01,-1,500,0.0,24,24,2749,0,431,790
237,Gallows,AStar,3,EagleDestroyed,96.36,-1,500,0.0,24,24,2596,0,333,917
238,Gallows,AStar,4,EagleDestroyed,96.66,-1,500,0.0,24,24,2653,0,244,667
239,Gallows,AStar,5,EagleDestroyed,98.30,-1,500,0.0,24,24,2739,0,335,963
240,Gallows,AStar,6,EagleDestroyed,98.92,-1,500,0.0,24,24,2659,0,310,775
241,Gallows,PIBT,1,EagleDestroyed,115.10,-1,500,0.0,24,24,3127,0,73,688
242,Gallows,PIBT,2,EagleDestroyed,112.16,-1,500,0.0,24,24,2597,0,83,987
243,Gallows,PIBT,3,EagleDestroyed,112.71,-1,500,0.0,24,24,2279,0,97,906
244,Gallows,PIBT,4,EagleDestroyed,113.39,-1,500,0.0,24,24,2793,0,84,869
245,Gallows,PIBT,5,EagleDestroyed,110.09,-1,500,0.0,24,24,2922,0,97,796
246,Gallows,PIBT,6,EagleDestroyed,112.76,-1,500,0.0,24,24,2261,0,95,704
247,Gallows,PIBT_TCP,1,EagleDestroyed,105.25,-1,500,0.0,24,24,2988,0,1281,1617
248,Gallows,PIBT_TCP,2,EagleDestroyed,103.30,-1,500,0.0,24,24,2687,0,1321,2175
249,Gallows,PIBT_TCP,3,EagleDestroyed,104.71,-1,500,0.0,24,24,2545,0,1437,2164
250,Gallows,PIBT_TCP,4,EagleDestroyed,106.41,-1,500,0.0,24,24,2478,0,1531,1791
251,Gallows,PIBT_TCP,5,EagleDestroyed,103.96,-1,500,0.0,24,24,2791,0,1339,2047
252,Gallows,PIBT_TCP,6,EagleDestroyed,108.77,-1,500,0.0,24,24,2987,0,1377,1720
253,Maze128,AStar,1,EagleDestroyed,122.38,-1,500,0.0,24,24,3873,0,2830,2085
254,Maze128,AStar,2,EagleDestroyed,122.27,-1,500,0.0,24,24,3670,0,1629,1566
255,Maze128,AStar,3,EagleDestroyed,123.89,-1,500,0.0,24,24,3797,0,2468,2013
256,Maze128,AStar,4,EagleDestroyed,122.64,-1,500,0.0,24,24,3910,0,2066,1489
257,Maze128,AStar,5,EagleDestroyed,122.52,-1,500,0.0,24,24,3795,0,2407,1753
258,Maze128,AStar,6,EagleDestroyed,124.89,-1,500,0.0,24,24,3563,0,1950,1647
259,Maze128,PIBT,1,EagleDestroyed,179.50,-1,500,0.0,24,24,4198,0,102,1638
260,Maze128,PIBT,2,EagleDestroyed,177.33,-1,500,0.0,24,24,4159,0,70,2160
261,Maze128,PIBT,3,EagleDestroyed,173.28,-1,500,0.0,24,24,4290,0,100,1669
262,Maze128,PIBT,4,EagleDestroyed,168.81,-1,500,0.0,24,24,4456,0,66,1680
263,Maze128,PIBT,5,EagleDestroyed,179.50,-1,500,0.0,24,24,4213,0,73,1754
264,Maze128,PIBT,6,EagleDestroyed,174.56,-1,500,0.0,24,24,4256,0,112,1653
265,Maze128,PIBT_TCP,1,EagleDestroyed,143.65,-1,500,0.0,24,24,3682,0,4914,1877
266,Maze128,PIBT_TCP,2,EagleDestroyed,135.49,-1,500,0.0,24,24,3815,0,3795,1728
267,Maze128,PIBT_TCP,3,EagleDestroyed,142.66,-1,500,0.0,24,24,3708,0,3762,1635
268,Maze128,PIBT_TCP,4,EagleDestroyed,144.40,-1,500,0.0,24,24,3655,0,3674,1689
269,Maze128,PIBT_TCP,5,EagleDestroyed,138.15,-1,500,0.0,24,24,4043,0,4217,1653
270,Maze128,PIBT_TCP,6,EagleDestroyed,135.65,-1,500,0.0,24,24,3705,0,3638,1972
271,Alpha32,AStar,1,EagleDestroyed,22.37,-1,500,0.0,36,36,974,0,2682,326
