Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,EagleHPMax,EagleHPLostPct,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
173,Maze128,PIBT,5,Timeout,180.00,471,500,5.9,12,12,2912,1367,0,1070
174,Maze128,PIBT,6,Timeout,180.00,471,500,5.8,12,12,2942,777,0,914
175,Maze128,PIBT_TCP,1,Timeout,180.00,472,500,5.6,12,12,3210,90,0,1737
176,Maze128,PIBT_TCP,2,Timeout,180.00,474,500,5.2,12,12,3291,77,0,1907
177,Maze128,PIBT_TCP,3,Timeout,180.00,473,500,5.5,12,12,3310,96,0,1931
178,Maze128,PIBT_TCP,4,Timeout,180.00,473,500,5.3,12,12,3082,114,0,1738
179,Maze128,PIBT_TCP,5,Timeout,180.00,475,500,5.1,12,12,3093,60,0,1576
180,Maze128,PIBT_TCP,6,Timeout,180.00,470,500,5.9,12,12,3310,73,0,1716
181,Alpha32,AStar,1,EagleDestroyed,49.42,-1,500,0.0,24,24,1383,73,348239,310
182,Alpha32,AStar,2,EagleDestroyed,48.85,-1,500,0.0,24,24,1382,65,336598,295
183,Alpha32,AStar,3,EagleDestroyed,49.06,-1,500,0.0,24,24,1368,28,326176,261
184,Alpha32,AStar,4,EagleDestroyed,49.34,-1,500,0.0,24,24,1387,57,229017,278
185,Alpha32,AStar,5,EagleDestroyed,49.02,-1,500,0.0,24,24,1381,55,272304,267
186,Alpha32,AStar,6,EagleDestroyed,49.38,-1,500,0.0,24,24,1383,53,326986,232
187,Alpha32,PIBT,1,EagleDestroyed,48.35,-1,500,0.0,24,24,1660,686,248966,184
188,Alpha32,PIBT,2,EagleDestroyed,48.30,-1,500,0.0,24,24,1772,22,183796,187
189,Alpha32,PIBT,3,EagleDestroyed,46.99,-1,500,0.0,24,24,1227,597,259195,199
190,Alpha32,PIBT,4,EagleDestroyed,47.88,-1,500,0.0,24,24,1032,653,234954,261
191,Alpha32,PIBT,5,EagleDestroyed,47.65,-1,500,0.0,24,24,1443,338,264203,242
192,Alpha32,PIBT,6,EagleDestroyed,48.37,-1,500,0.0,24,24,1794,19,362632,205
193,Alpha32,PIBT_TCP,1,EagleDestroyed,49.40,-1,500,0.0,24,24,2272,16,294837,470
194,Alpha32,PIBT_TCP,2,EagleDestroyed,50.93,-1,500,0.0,24,24,2419,32,200715,385
195,Alpha32,PIBT_TCP,3,EagleDestroyed,49.21,-1,500,0.0,24,24,2276,35,225982,447
196,Alpha32,PIBT_TCP,4,EagleDestroyed,51.06,-1,500,0.0,24,24,2693,23,260427,409
197,Alpha32,PIBT_TCP,5,EagleDestroyed,51.40,-1,500,0.0,24,24,2549,27,375299,452
198,Alpha32,PIBT_TCP,6,EagleDestroyed,50.35,-1,500,0.0,24,24,2416,33,268494,444
199,Mansion,AStar,1,EagleDestroyed,141.28,-1,500,0.0,24,24,5717,73,175977,1463
200,Mansion,AStar,2,EagleDestroyed,139.34,-1,500,0.0,24,24,5752,71,242969,1629
201,Mansion,AStar,3,EagleDestroyed,140.72,-1,500,0.0,24,24,5752,84,183747,1322
202,Mansion,AStar,4,EagleDestroyed,139.63,-1,500,0.0,24,24,5790,67,301840,1212
203,Mansion,AStar,5,EagleDestroyed,140.81,-1,500,0.0,24,24,5742,60,172850,1115
204,Mansion,AStar,6,EagleDestroyed,140.43,-1,500,0.0,24,24,5732,86,310123,981
205,Mansion,PIBT,1,EagleDestroyed,179.50,-1,500,0.0,24,24,17903,3490,202001,910
206,Mansion,PIBT,2,EagleDestroyed,170.56,-1,500,0.0,24,24,10543,3442,174486,1173
207,Mansion,PIBT,3,EagleDestroyed,179.50,-1,500,0.0,24,24,33300,3065,323357,974
208,Mansion,PIBT,4,EagleDestroyed,173.16,-1,500,0.0,24,24,27904,2245,230435,1017
209,Mansion,PIBT,5,EagleDestroyed,179.50,-1,500,0.0,24,24,33560,2543,284944,1106
210,Mansion,PIBT,6,EagleDestroyed,161.86,-1,500,0.0,24,24,33030,3190,195706,1185
211,Mansion,PIBT_TCP,1,EagleDestroyed,162.99,-1,500,0.0,24,24,5739,185,263750,2654
212,Mansion,PIBT_TCP,2,EagleDestroyed,164.50,-1,500,0.0,24,24,5612,192,311894,2098
